,code,tradeStatus,code_name
222,sh.600000,1,浦发银行
223,sh.600004,1,白云机场
224,sh.600006,1,东风汽车
225,sh.600007,1,中国国贸
226,sh.600008,1,首创股份
227,sh.600009,1,上海机场
228,sh.600010,1,包钢股份
229,sh.600011,1,华能国际
230,sh.600012,1,皖通高速
231,sh.600015,1,华夏银行
232,sh.600016,1,民生银行
233,sh.600017,1,日照港
234,sh.600018,1,上港集团
235,sh.600019,1,宝钢股份
236,sh.600020,1,中原高速
237,sh.600021,1,上海电力
238,sh.600022,1,山东钢铁
239,sh.600023,1,浙能电力
240,sh.600025,1,华能水电
241,sh.600026,1,中远海能
242,sh.600027,1,华电国际
243,sh.600028,1,中国石化
244,sh.600029,1,南方航空
245,sh.600030,1,中信证券
246,sh.600031,1,三一重工
247,sh.600033,1,福建高速
248,sh.600035,1,楚天高速
249,sh.600036,1,招商银行
250,sh.600037,1,歌华有线
251,sh.600038,1,中直股份
252,sh.600039,1,四川路桥
253,sh.600048,1,保利地产
254,sh.600050,1,中国联通
255,sh.600051,1,宁波联合
256,sh.600052,1,浙江广厦
257,sh.600053,1,九鼎投资
258,sh.600054,1,黄山旅游
259,sh.600055,1,万东医疗
260,sh.600056,1,中国医药
261,sh.600057,1,厦门象屿
262,sh.600058,1,五矿发展
263,sh.600059,1,古越龙山
264,sh.600060,1,海信视像
265,sh.600061,1,国投资本
266,sh.600062,1,华润双鹤
267,sh.600063,1,皖维高新
268,sh.600064,1,南京高科
269,sh.600066,1,宇通客车
270,sh.600067,1,冠城大通
271,sh.600068,1,葛洲坝
272,sh.600069,1,银鸽投资
273,sh.600070,1,浙江富润
274,sh.600071,1,凤凰光学
275,sh.600072,1,中船科技
276,sh.600073,1,上海梅林
277,sh.600074,1,*ST保千
278,sh.600075,1,新疆天业
279,sh.600076,1,康欣新材
280,sh.600077,1,宋都股份
281,sh.600078,1,澄星股份
282,sh.600079,1,人福医药
283,sh.600080,1,金花股份
284,sh.600081,1,东风科技
285,sh.600082,1,海泰发展
286,sh.600083,1,博信股份
287,sh.600084,1,*ST中葡
288,sh.600085,1,同仁堂
289,sh.600086,1,东方金钰
290,sh.600088,1,中视传媒
291,sh.600089,1,特变电工
292,sh.600090,1,同济堂
293,sh.600091,1,ST明科
294,sh.600093,1,易见股份
295,sh.600094,1,大名城
296,sh.600095,1,哈高科
297,sh.600096,1,云天化
298,sh.600097,1,开创国际
299,sh.600098,1,广州发展
300,sh.600099,1,林海股份
301,sh.600100,1,同方股份
302,sh.600101,1,明星电力
303,sh.600103,1,青山纸业
304,sh.600104,1,上汽集团
305,sh.600105,1,永鼎股份
306,sh.600106,1,重庆路桥
307,sh.600107,1,美尔雅
308,sh.600108,1,亚盛集团
309,sh.600109,1,国金证券
310,sh.600110,1,诺德股份
311,sh.600111,1,北方稀土
312,sh.600112,1,ST天成
313,sh.600113,1,浙江东日
314,sh.600114,1,东睦股份
315,sh.600115,1,东方航空
316,sh.600116,1,三峡水利
317,sh.600117,1,西宁特钢
318,sh.600118,1,中国卫星
319,sh.600119,1,*ST长投
320,sh.600120,1,浙江东方
321,sh.600121,1,郑州煤电
322,sh.600122,1,宏图高科
323,sh.600123,1,兰花科创
324,sh.600125,1,铁龙物流
325,sh.600126,1,杭钢股份
326,sh.600127,1,金健米业
327,sh.600128,1,弘业股份
328,sh.600129,1,太极集团
329,sh.600130,1,波导股份
330,sh.600131,1,岷江水电
331,sh.600132,1,重庆啤酒
332,sh.600133,1,东湖高新
333,sh.600135,1,乐凯胶片
334,sh.600136,1,当代明诚
335,sh.600137,1,浪莎股份
336,sh.600138,1,中青旅
337,sh.600139,1,西部资源
338,sh.600141,1,兴发集团
339,sh.600143,1,金发科技
340,sh.600145,0,*ST新亿
341,sh.600146,1,商赢环球
342,sh.600148,1,长春一东
343,sh.600149,1,ST坊展
344,sh.600150,1,中国船舶
345,sh.600151,1,航天机电
346,sh.600152,1,维科技术
347,sh.600153,1,建发股份
348,sh.600155,1,华创阳安
349,sh.600156,1,华升股份
350,sh.600157,1,永泰能源
351,sh.600158,1,中体产业
352,sh.600159,1,大龙地产
353,sh.600160,1,巨化股份
354,sh.600161,1,天坛生物
355,sh.600162,1,香江控股
356,sh.600163,1,中闽能源
357,sh.600165,1,新日恒力
358,sh.600166,1,福田汽车
359,sh.600167,1,联美控股
360,sh.600168,1,武汉控股
361,sh.600169,1,太原重工
362,sh.600170,1,上海建工
363,sh.600171,1,上海贝岭
364,sh.600172,1,黄河旋风
365,sh.600173,1,卧龙地产
366,sh.600175,1,美都能源
367,sh.600176,1,中国巨石
368,sh.600177,1,雅戈尔
369,sh.600178,1,东安动力
370,sh.600179,1,ST安通
371,sh.600180,1,瑞茂通
372,sh.600182,1,S佳通
373,sh.600183,1,生益科技
374,sh.600184,1,光电股份
375,sh.600185,1,格力地产
376,sh.600186,1,*ST莲花
377,sh.600187,1,国中水务
378,sh.600188,1,兖州煤业
379,sh.600189,1,吉林森工
380,sh.600190,1,锦州港
381,sh.600191,1,华资实业
382,sh.600192,1,长城电工
383,sh.600193,1,ST创兴
384,sh.600195,1,中牧股份
385,sh.600196,1,复星医药
386,sh.600197,1,伊力特
387,sh.600198,1,大唐电信
388,sh.600199,1,金种子酒
389,sh.600200,1,江苏吴中
390,sh.600201,1,生物股份
391,sh.600202,1,哈空调
392,sh.600203,1,福日电子
393,sh.600206,1,有研新材
